,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first,Name,keyname
147,garcino01,2002,0,NLS200207090,BOS,AL,1,,garciaparra,nomar,nomar garciaparra,nomar garciaparra2002
150,jeterde01,2002,0,NLS200207090,NYA,AL,1,,jeter,derek,derek jeter,derek jeter2002
151,konerpa01,2002,0,NLS200207090,CHA,AL,1,,konerko,paul,paul konerko,paul konerko2002
153,pierzaj01,2002,0,NLS200207090,MIN,AL,1,,,,,2002
156,sweenmi01,2002,0,NLS200207090,KCA,AL,1,,sweeney,mike,mike sweeney,mike sweeney2002
157,tejadmi01,2002,0,NLS200207090,OAK,AL,1,,tejada,miguel,miguel tejada,miguel tejada2002
159,venturo01,2002,0,NLS200207090,NYA,AL,1,,ventura,robin,robin ventura,robin ventura2002
160,vizquom01,2002,0,NLS200207090,CLE,AL,1,,vizquel,omar,omar vizquel,omar vizquel2002
161,winnra01,2002,0,NLS200207090,TBA,AL,1,,winn,randy,randy winn,randy winn2002
164,piazzmi01,2002,0,NLS200207090,NYN,NL,1,2,piazza,mike,mike piazza,mike piazza2002
165,heltoto01,2002,0,NLS200207090,COL,NL,1,3,helton,todd,todd helton,todd helton2002
166,vidrojo01,2002,0,NLS200207090,MON,NL,1,4,vidro,jose,jose vidro,jose vidro2002
167,rolensc01,2002,0,NLS200207090,PHI,NL,1,5,rolen,scott,scott rolen,scott rolen2002
168,rolliji01,2002,0,NLS200207090,PHI,NL,1,6,rollins,jimmy,jimmy rollins,jimmy rollins2002
169,bondsba01,2002,0,NLS200207090,SFN,NL,1,7,bonds,barry,barry bonds,barry bonds2002
170,guerrvl01,2002,0,NLS200207090,MON,NL,1,8,guerrero,vladimir,vladimir guerrero,vladimir guerrero2002
171,sosasa01,2002,0,NLS200207090,CHN,NL,1,9,sosa,sammy,sammy sosa,sammy sosa2002
172,berkmla01,2002,0,NLS200207090,HOU,NL,1,,berkman,lance,lance berkman,lance berkman2002
173,castilu01,2002,0,NLS200207090,FLO,NL,1,,castillo,luis,luis castillo,luis castillo2002
174,dunnad01,2002,0,NLS200207090,CIN,NL,1,,dunn,adam,adam dunn,adam dunn2002
177,gonzalu01,2002,0,NLS200207090,ARI,NL,1,,gonzalez,luis,luis gonzalez,luis gonzalez2002
178,greensh01,2002,0,NLS200207090,LAN,NL,1,,green,shawn,shawn green,shawn green2002
179,hernajo01,2002,0,NLS200207090,MIL,NL,1,,hernandez,jose,jose hernandez,jose hernandez2002
182,jonesan01,2002,0,NLS200207090,ATL,NL,1,,jones,andruw,andruw jones,andruw jones2002
184,lowelmi01,2002,0,NLS200207090,FLO,NL,1,,lowell,mike,mike lowell,mike lowell2002
185,milleda02,2002,0,NLS200207090,ARI,NL,1,,miller,damian,damian miller,damian miller2002
